SMEW data output,,accepted dims,,,,,,
I_K,"background input rate of K+ (e.g., through rain, litterfall, background weathering, etc) (constant)",mol d-1,,[],Y,N,N,outdict
I_Si,"background input rate of Si (e.g., through rain, litterfall, background weathering, etc) (constant)",mol d-1,,[],Y,N,N,outdict
M_iner,??? Is this the fraction of inert material in the feedstock? How is it prescribed?,g m-2,,time,N,N,N,outdict
printcounter,??? Assuming I can safely ignore?,,,,N,N,N,outdict
numb_print,??? Assuming I can safely ignore?,,,,N,N,N,outdict
UP_act,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
R_alk0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
Al_w0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
Al0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
Mg0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
Na0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
Ca0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
K0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
H0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
H0_2,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
x0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
sol,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
res_threshold,error threshold for solution (constant),,,,N,N,N,outdict
d_shrink,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
k,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
Al,aluminum concentration in soil water,umol L-1,,time,Y,N,N,outdict
Al_tot,aluminum mass balance (aqueous + sorbed),mol,,time,Y,N,N,outdict
Al_w,??? aluminum mass balance in mobile phase,mol,,time,Y,N,N,outdict
Alk,alkalinity concentration in soil water,umol L-1,,time,Y,N,N,outdict
Alk0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
Alk_rain,"alkalinity concentration of rainfall (constant, hard-coded at zero)",mol L-1,,,N,N,N,outdict
Alk_tot,alkalinity mass balance (aqueous + sorbed),mol_c,,time,Y,N,N,outdict
CEC_tot,cation exchange capacity in soil column (constant),mol_c,,[],Y,N,N,outdict
CO2_w,concentration of dissolved CO2 in soil water,mol L-1,,time,Y,N,N,outdict
CO2_w0,??? Ignore (value(s) apply solely to last timestep?),,,,N,N,N,outdict
CO2_w_rain,concentration of dissolved CO2 in rain water,mol L-1,,time,Y,N,N,outdict
Ca,concentration of calcium in soil water ,mol L-1,,time,Y,N,N,outdict
Ca_tot,calcium mass balance in soil water (aqueous + sorbed),mol,,time,Y,N,N,outdict
H,concentration of hydrogen ions in soil water,mol L-1,,time,Y,N,N,outdict
H_rain,concentration of hydrogen ions in rain water,mol L-1,,time,Y,N,N,outdict
IC_tot,inorganic carbon mass balance,mol,,time,Y,N,N,outdict
K,concentration of potassium in soil water,mol L-1,,time,Y,N,N,outdict
K1,K1 for aluminum speciation,,,,N,N,N,outdict
K2,K2 for aluminum speciation,,,,N,N,N,outdict
K3,K3 for aluminum speciation,,,,N,N,N,outdict
K4,K4 for aluminum speciation,,,,N,N,N,outdict
K_Ca_Al,Gaines-Thomas CEC coefficient for Ca-Al (constant),conc-1,,,N,N,N,outdict
K_Ca_H,Gaines-Thomas CEC coefficient for Ca_H (constant),conc,,,N,N,N,outdict
K_Ca_K,Gaines-Thomas CEC coefficient for Ca-K (constant),conc,,,N,N,N,outdict
K_Ca_Mg,Gaines-Thomas CEC coefficient for Ca-Mg (constant),conc,,,N,N,N,outdict
K_Ca_Na,Gaines-Thomas CEC coefficient for Ca-Na (constanta),conc,,,N,N,N,outdict
K_tot,potassium mass balance (aqueous + sorbed),mol,,time,Y,N,N,outdict
Mg,concentration of magnesium in soil water,mol L-1,,time,Y,N,N,outdict
Mg_tot,magnesium mass balance (aqueous + sorbed),mol,,time,Y,N,N,outdict
Na,concentration of sodium in soil water,mol L-1,,time,Y,N,N,outdict
Na_tot,sodium mass balance (aqueous + sorbed),mol,,time,Y,N,N,outdict
R_alk,reserve (sorbed) alkalinity (sum of sorbed cation fractions multiplied by CEC_tot),mol_c,,time,Y,N,N,outdict
Zr,soil column depth (constant),m,,[],Y,N,N,outdict
conv_Al,factor to convert mol to nanomol for aluminum (constant),unitless,,,N,N,N,outdict
f_Ca,fraction of exchange sites occupied by calcium,unitless,,time,Y,N,N,outdict
f_Al,fraction of exchange sites occupied by aluminum,unitless,,time,Y,N,N,outdict
f_H,fraction of exchange sites occupied by hydrogen ions,unitless,,time,Y,N,N,outdict
f_K,fraction of exchange sites occupied by potassium,unitless,,time,Y,N,N,outdict
f_Mg,fraction of exchange sites occupied by magnesium,unitless,,time,Y,N,N,outdict
f_Na,fraction of exchange sites occupied by sodium,unitless,,time,Y,N,N,outdict
i,??? Ignore? Index from for loop,,,,N,N,N,outdict
k1,k1 for carbonate speciation (constant),,,,N,N,N,outdict
k2,k2 for carbonate speciation (constant),,,,N,N,N,outdict
k_H,kH for carbonate speciation,,,,N,N,N,outdict
k_w,kw for carbonate speciation,,,,N,N,N,outdict
n,soil porosity (constant),unitless,,[],Y,N,N,outdict
s,soil moisture,m3 m-3,,time,Y,N,N,outdict
time,time,d,,time,Y,N,Y,outdict
site,site,unitless,,site,Y,Y,Y,rundict
sitename,name of climate site,unitless,,site,N,Y,N,rundict
feedstock,name of feedstock applied,unitless,,feedstock,Y,N,Y,rundict
feedstock_name,name of feedstock applied,unitless,,feedstock,N,N,N,rundict
latitude,latitude of site,deg N,,site,Y,N,N,rundict
longitude,longitude of site,deg E,,site,Y,Y,N,rundict
albedo,albedo of site,unitless,,site,Y,N,N,rundict
atm_co2_ppm,concentration of CO2 in atmosphere,ppmv,,[],Y,N,N,rundict
soil_co2_ppm,initial concentration of CO2 in the soil,ppmv,,[],N,N,N,rundict
T_v,vegetation growth time,d,,[],N,N,N,rundict
runname,name of simulation,unitless,,runname,Y,N,N,rundict
control,"boolean indicating whether this is a control simulation (e.g., no rock application)",unitless,,[],Y,N,N,rundict
temp_air,temperature of air,deg C,,time,Y,N,N,rundict
ET0,potential evapo(transpir)ation,m d-1,,time,Y,N,N,rundict
rain,total precipitation per time step,m,,time,Y,N,N,rundict
time,time,d,,time,Y,N,Y,rundict
t,time,d,,time,N,N,Y,rundict
